iter	Passed	Remaining
722	7343	2813
723	7353	2803
724	7364	2793
725	7374	2783
726	7384	2773
727	7395	2763
728	7406	2753
729	7416	2742
730	7425	2732
731	7435	2722
732	7444	2711
733	7454	2701
734	7464	2691
735	7474	2680
736	7483	2670
737	7493	2660
738	7504	2650
739	7514	2640
740	7524	2630
741	7535	2620
742	7545	2609
743	7555	2599
744	7565	2589
745	7574	2579
746	7585	2569
747	7596	2559
748	7606	2548
749	7616	2538
750	7626	2528
751	7637	2518
752	7647	2508
753	7656	2498
754	7665	2487
755	7674	2476
756	7684	2466
757	7692	2455
758	7701	2445
759	7711	2435
760	7720	2424
761	7730	2414
762	7738	2403
763	7748	2393
764	7757	2382
765	7765	2372
766	7775	2362
767	7784	2351
768	7794	2341
769	7802	2330
770	7811	2320
771	7820	2309
772	7831	2299
773	7840	2289
774	7848	2278
775	7857	2268
776	7866	2257
777	7875	2247
778	7884	2236
779	7893	2226
780	7902	2215
781	7911	2205
782	7920	2195
783	7929	2184
784	7939	2174
785	7948	2164
786	7957	2153
787	7966	2143
788	7977	2133
789	7987	2123
790	7996	2112
791	8005	2102
792	8014	2092
793	8024	2081
794	8033	2071
795	8043	2061
796	8052	2051
797	8061	2040
798	8071	2030
799	8080	2020
800	8090	2009
801	8099	1999
802	8110	1989
803	8121	1979
804	8130	1969
805	8140	1959
806	8149	1949
807	8158	1938
808	8169	1928
809	8179	1918
810	8188	1908
811	8197	1898
812	8207	1887
813	8218	1878
814	8228	1867
815	8239	1857
816	8249	1847
817	8259	1837
818	8269	1827
819	8278	1817
820	8287	1806
821	8297	1796
822	8307	1786
823	8316	1776
824	8325	1766
825	8336	1756
826	8347	1746
827	8356	1735
828	8365	1725
829	8375	1715
830	8387	1705
831	8396	1695
832	8406	1685
833	8415	1674
834	8424	1664
835	8434	1654
836	8443	1644
837	8452	1634
838	8462	1623
839	8471	1613
840	8481	1603
841	8490	1593
842	8502	1583
843	8512	1573
844	8521	1563
845	8530	1552
846	8540	1542
847	8549	1532
848	8559	1522
849	8569	1512
850	8580	1502
851	8589	1492
852	8599	1481
853	8608	1471
854	8617	1461
855	8627	1451
856	8636	1441
857	8650	1431
858	8660	1421
859	8669	1411
860	8679	1401
861	8688	1390
862	8697	1380
863	8707	1370
864	8717	1360
865	8726	1350
866	8736	1340
867	8744	1329
868	8754	1319
869	8763	1309
870	8773	1299
871	8783	1289
872	8792	1279
873	8802	1269
874	8812	1258
875	8822	1248
876	8830	1238
877	8839	1228
878	8847	1217
879	8856	1207
880	8865	1197
881	8874	1187
882	8883	1177
883	8892	1166
884	8902	1156
885	8911	1146
886	8922	1136
887	8930	1126
888	8939	1116
889	8950	1106
890	8960	1096
891	8970	1086
892	8980	1076
893	8990	1065
894	9000	1055
895	9009	1045
896	9018	1035
897	9028	1025
898	9037	1015
899	9046	1005
900	9055	994
901	9064	984
902	9072	974
903	9081	964
904	9090	954
905	9098	944
906	9106	933
907	9116	923
908	9125	913
909	9134	903
910	9143	893
911	9151	883
912	9160	872
913	9169	862
914	9178	852
915	9187	842
916	9196	832
917	9204	822
918	9213	812
919	9222	801
920	9231	791
921	9240	781
922	9249	771
923	9259	761
924	9268	751
925	9277	741
926	9285	731
927	9294	721
928	9302	710
929	9311	700
930	9319	690
931	9328	680
932	9336	670
933	9345	660
934	9354	650
935	9362	640
936	9370	630
937	9379	619
938	9388	609
939	9396	599
940	9406	589
941	9414	579
942	9423	569
943	9431	559
944	9440	549
945	9448	539
946	9457	529
947	9466	519
948	9474	509
949	9483	499
950	9491	489
951	9500	478
952	9510	469
953	9519	458
954	9527	448
955	9536	438
956	9545	428
957	9554	418
958	9562	408
959	9571	398
960	9580	388
961	9590	378
962	9598	368
963	9607	358
964	9619	348
965	9629	338
966	9639	328
967	9649	318
968	9659	309
969	9669	299
970	9679	289
971	9688	279
972	9698	269
973	9707	259
974	9717	249
975	9728	239
976	9737	229
977	9747	219
978	9756	209
979	9766	199
980	9775	189
981	9784	179
982	9794	169
983	9804	159
984	9813	149
985	9823	139
986	9834	129
987	9845	119
988	9855	109
989	9864	99
990	9874	89
991	9883	79
992	9893	69
993	9902	59
994	9914	49
995	9923	39
996	9932	29
997	9943	19
998	9953	9
999	9963	0
